Rk,Player,Twitter
172,Dante Exum,daanteee
173,Jalen Smith,thejalen_smith
174,Derrick Caracter,RebuildCaracter
175,Eugene Jeter,PoohJeter
176,Jusuf Nurkić,bosnianbeast27
177,Damion Lee,Dami0nLee
178,Johnathan Williams,Iam_J3
179,Bruno Caboclo,Bruno_Caboclo
180,J.J. Avila,NotLilJay
181,Gary Clark,Gary11_Clark
182,Amir Johnson,IamAmirJohnson
183,Clint Capela,CapelaClint
184,Garrett Stutz,Gstutz41
185,Derrick Jones Jr.,TheRea1DJones
186,Jaylen Barford,Jbarford1
187,Bogdan Bogdanović,LeaderOfHorde
188,Isaiah Wilkins,isaiahwilkins21
189,Dairis Bertāns,DairisBertans
190,Patrick Williams,patricklw4
191,Armon Johnson,AJALLDAY1
192,Damien Inglis,DamienINGLIS
193,Lamont Mack,MONT_MACK
194,Kyle Wiltjer,kwiltj
195,Zach Smith,SuperDuperZach
196,Zeke Nnaji,ZekeNnaji_Hoopz
197,Thanasis Antetokounmpo,Thanasis_ante43
198,Mac Koshwal,Macmainstreet
199,Norvel Pelle,NorvelPelle05
200,Cody Demps,CodyDemps
201,Jaden McDaniels,Jmcdaniels7
202,Avery Johnson,CoachAvery6
203,Isaiah Taylor,Zay_Ctmd11
204,Emanuel Terry,EmanuelTerry08
205,Dusty Hannahs,D_Hannahs
206,Alex Caruso,ACFresh21
207,Jordan Loyd,mrjloyd
208,Jemerrio Jones,JemerrioJ
209,Nemanja Dangubić,DangubicNemanja
210,Xavier Gibson,zaygibson
211,Jordan Barnett,JBounce33
212,Jamarr Sanders,2_E_A_Z_Y
213,Thomas Walkup,twalkup23
214,Rob Gray,iRob_G
215,Omri Casspi,Casspi18
216,Nicolás Laprovíttola,nicolapro7
217,Zion Williamson,Zionwilliamson
218,Gracin Bakumanya,gbakumanya
219,Zach Lofton,ZachLofton
220,Ja Morant,JaMorant
221,Kamar Baldwin,kamar3baldwin
222,JaKarr Sampson,KarrSampson14
223,Derek Cooke,DCookeJr
224,RJ Barrett,RjBarrett6
225,Desmond Bane,DBane0625
226,Ronald Roberts,RonaldRoberts5
227,Malcolm Delaney,foe23
228,Josh Magette,joshmagette
229,Marcus Lee,JustMarcusLee
230,De'Andre Hunter,DreHunter
231,Patrick Richard,prichard_3
232,Darius Garland,dariusgarland22
233,Jack Cooley,JackCooligan45
234,Vernon Goodridge,VeEG00D
235,Vashil Fernandez,vashilluv_bball
236,Eric Moreland,EricMoreland15
237,Coby White,CobyWhite
238,Victor Claver,Victor_Claver
239,Darius Johnson-Odom,KingMe_DJ1
240,Mamadou N'Diaye,mamadoundiaye14
241,Elijah Stewart,Lou_weezy_ana
242,Kyle Kuric,KingKK_14
243,Le'Bryan Nash,LBgetbuckets02
244,DeVaughn Akoon-Purcell,dap44_
245,Tony Taylor,2cooltone
246,Doral Moore,2talldemondeac
247,Cam Reddish,camreddish
248,DeQuan Jones,DequanMJones
249,Eric Griffin,EGRIFFDASTORY
250,Romero Osby,ROEOSBY24
251,David Nwaba,dnwaba0
252,Trey Lewis,Treylew3
253,Jared Berggren,jberggren40
254,Donte Grantham,DonteGrantham32
255,P.J. Washington,PJWashington
256,Damjan Rudež,Damjan_Rudez
257,Keith Clanton,Im_Keithclanton
258,Markelle Fultz,MarkelleF
259,Brandon Goodwin,goodysav
260,Tyler Herro,raf_tyler
261,CJ Elleby,EllebyCj
262,Lonzo Ball,ZO2_
263,Gabe York,gabeyork32
264,Romeo Langford,yeahyeah22
265,Sherron Collins,SHERRONCOLLINS4
266,A.J. Slaughter,ajslaughter8
267,Jayson Tatum,jaytatum0
268,JaMychal Green,Jmyke1
269,Rodney Williams,YeahRod24
270,Josh Jackson,j_josh11
271,Jeff Roberson,j5robe
272,Nickeil Alexander-Walker,NickeilAW
273,Josh Davis,JoshDavis_22
274,Khalif Wyatt,KhalifW05
275,De'Aaron Fox,swipathefox
276,Nick King,CrownMeKing5_
277,Trent Forrest,TForrest_11
278,Patric Young,PatricYoung4
279,Trevor Mbakwe,TMbakwe32
280,Jonathan Isaac,JJudahIsaac
281,Justin Bibbs,JustinBibbs10
282,Luka Šamanić,SamanicLuka
283,Daequan Cook,DC4Three
284,Bojan Bogdanović,44Bojan
285,Jayson Granger,jaygranger11
286,Lauri Markkanen,MarkkanenLauri
287,Desi Rodriguez,desirodriguez6
288,Matisse Thybulle,MatisseThybulle
289,Tim Abromaitis,timabro21
290,Frank Ntilikina,FrankLikina
291,Chris Chiozza,Chiozza11
292,Brandon Clarke,brandonclarke23
293,Kris Joseph,RealKrisJo
294,James Ennis III,JamesDa_Truth
295,Omar Reed,DaJuice55
296,Dennis Smith Jr.,Dennis1SmithJr
297,Tiwian Kendley,princeofharlem8
298,Grant Williams,Grant2Will
299,Travis Peterson,TPeterson42
300,Zach Collins,zcollins_33
301,Scoochie Smith,scoochstackin
302,Markus Howard,markushoward11
303,David Stockton,dstockton32
304,Korie Lucious,KorieLucious
305,Malik Monk,AhmadMonk
306,Deng Adel,Foreverdeng
307,Nassir Little,2ez_nassie
308,Jarell Eddie,JarellEddie
309,Luke Kennard,LukeKennard5
310,Bonzie Colson,Bacolson35
311,Isaiah Joe,zai_joe1
312,Joe Crawford,JoeCrawford5
313,E.J. Singler,EJSingler
314,Donovan Mitchell,spidadmitchell
315,Robert Johnson,RoJoJr
316,Mfiondu Kabengele,Mfiondu
317,Casey Prather,cprather24
318,Jamelle Hagins,JamelleHagins
319,Bam Adebayo,Bam1of1
320,Kaiser Gates,Kaisergates
321,Jamil Wilson,jamilwilson_22
322,Myck Kabongo,MyckK9
323,Justin Jackson,JJacks_44
324,Ike Nwamu,ike_nwamu
325,Keldon Johnson,imthe_truth32
326,Andre Dawkins,dre_dawkins
327,Michael Dunigan,DarknessRises17
328,Justin Patton,JustinPatton17
329,Tyrius Walker,iam_twalk
330,Shawn Jones,Slim_J12
331,D.J. Wilson,Lanky_Smoove
332,Drew Eubanks,DrewEubanks12
333,Nic Claxton,_claxton33
334,Jackie Carmichael,Jackie_C32
335,T.J. Leaf,leafsquad22
336,Scottie Lindsey,ScottieLindsey
337,KZ Okpala,kz_okpala_
338,Khem Birch,Khem_Birch
339,John Collins,jcollins20_
340,Jonathan Stark,jonathanstark02
341,Carsen Edwards,Cboogie_3
342,Langston Galloway,LangGalloway10
343,Amath M'Baye,Amath22Juice
344,Harry Giles,HGiiizzle
345,Ismaila Kane,ladsame1997
346,Travis Wear,traviswear
347,Rašid Mahalbašić,RasidMahalbasic
348,Terrance Ferguson,Fergskii
349,Cameron Reynolds,CamoCinco
350,Abdoulaye N'Doye,Ndoye_11
351,Aaron Craft,ACraft4
352,Rodney Green,rodneygreen10
353,Jarrett Allen,_bigjayy_
354,Nuni Omot,nuniomot21
355,Cody Martin,cody_martin15
356,Mitchell Watt,mitchell_watt
357,Tyler Lydon,Tyler_Lydon14
358,Daniel Gafford,Dan_G33
359,Jordan Henriquez,TooTall2KnoSo1
360,Anžejs Pasečņiks,AnzejsP
361,Devin Davis,DevDavis15
362,Alex Oriakhi,aoriakhi42
363,C.J. Leslie,ncsu_cleslie
364,Caleb Swanigan,calebswanigan50
365,Phillip Carr,PhilippeChow_
366,Eric Paschall,epaschall
367,Eloy Vargas,EVargas30
368,Kyle Kuzma,kylekuzma
369,Taren Sullivan,sullyballer1423
370,Admiral Schofield,admiralelite15
371,Payton Pritchard,paytonpritch3
372,Liam McMorrow,TheLiamMcMorrow
373,Tony Bradley,ToBrad1
374,Gabe Vincent,iamgabevincent2
375,Jaylen Nowell,JaylenNowell
376,Pierre Jackson,PAPPYGAWD
377,Derrick White,Dwhite921
378,Billy Garrett,BGarrett_5
379,Isaiah Roby,roby_isaiah
380,Immanuel Quickley,IQ_GodSon
381,Dennis Schröder,DennisMike93
382,Max Kouguere,MaxOnTwitter
383,Josh Hart,joshhart
384,Paul Watson,_PWJiii
385,Talen Horton-Tucker,Thortontucker
386,Zeke Marshall,Ziggy_Marsh
387,Frank Jackson,FWJackson15
388,Jeff Coby,JC40A3
389,Ignas Brazdeikis,_iggy_braz
390,Tyler Johnson,Pusha650
391,Davon Reed,ClutchREED_5
392,Isaac Humphries,IsaacHumphries7
393,Terance Mann,terance_mann
394,Wes Iwundu,_Iwundu25
395,Donte Ingram,kingram_0
396,Quinndary Weatherspoon,IAM_QUINN11
397,Lamar Stevens,LamarStevens11
398,Brock Motum,brockm12
399,Scott Wood,ScottWood15
400,Frank Mason III,FrankMason0
401,C.J. Anderson,cjanderson_23
402,Jarrell Brantley,jstuntbrantley
403,Thabo Sefolosha,ThaboSefolosha
404,Tarik Black,TarikBlack25
405,Kenny Kadji,KadjiKenneth
406,Ivan Rabb,YoungIvee
407,Tremont Waters,WatersTremont
408,Brady Heslip,bradyheslip
409,Jonah Bolden,Jonahbolden43
410,Jalen McDaniels,jalenmcdaniels5
411,Deonte Burton,DeonteBurton
412,Semi Ojeleye,semi
413,DJ Hogg,Dj_hogg1
414,Justin Wright-Foreman,JayWright_3
415,Tim Frazier,Timfraz23
416,D.J. Seeley,vitaminDseeley
417,John Petrucelli,John_Petrucelli
418,Marial Shayok,MarialShayok
419,Rodney McGruder,RodneyMcGruder
420,Jawun Evans,j3vans1_
421,Ángel Rodríguez,angel13pr
422,Kyle Guy,kylejguy
423,Christian Watford,Cwat205
424,Raphiael Putney,RRPUTNEY3
425,Jaylen Hands,JHANDS08
426,Abdul Gaddy,Gaddy253_
427,Tyler Dorsey,TDORSEY_1
428,Jordan Bone,JordanBone23
429,Kevin Séraphin,french_savage
430,Kalin Lucas,Kjay24k
431,Durand Scott,durand_scott
432,Thomas Bryant,nolimittb31
433,William Lee,Haha34lee1
434,Miye Oni,PrinceOni13
435,Joe Ingles,Joeingles7
436,Isaiah Hartenstein,Ipjh55
437,Canyon Barry,cbarry719
438,Dewan Hernandez,DewanGoesFor_20
439,Justinian Jessup,justinian_10
440,Akil Mitchell,ajmitchell25
441,Anthony Marshall,ANT_MARZ3
442,Demetrius Denzel-Dyson,DenzelDyson22
443,Nicolò Melli,NikMelli
444,Brandon Triche,BrandonTriche
445,Dillon Brooks,dillonbrooks24
446,Roscoe Smith,scoesh0w
447,Sterling Brown,thatnegus_sb
448,Naz Reid,NazReid
449,Jerel McNeal,jerel_mcneal
450,Ike Anigbogu,IkePostrs_
451,Tornike Shengelia,TokoShengelia23
452,Zach Andrews,21zachandrews
453,Sindarius Thornwell,Sin_City_803
454,Sean Kilpatrick,SeanKilpatrick
455,Vlatko Čančar,CancarVlatko
456,Zabian Dowdell,zayrd1
457,Álex Abrines,alexabrines
458,Mathias Lessort,ThiasLsf
459,Dean Wade,deanwade3232
460,Lance Goulbourne,Lg5live
461,Monte Morris,BigGameTae
462,Jared Harper,Therealvinoo
463,Anthony Edwards,theantedwards_
464,Goran Dragić,Goran_Dragic
465,Raul Neto,RaulTogni
466,Edmond Sumner,EdmondSumner
467,Jaylen Hoard,JaylenHoard
468,Kadeem Allen,AllenKadeem
469,John Konchar,konchjitty55
470,Jae'Sean Tate,o_tate_
471,Arsalan Kazemi,kazemiworld
472,O.D. Anosike,Anosike_1
473,Alec Peters,petersalec
474,Kris Wilkes,kadw31
475,Joffrey Lauvergne,1JOLOLO
476,Jabari Bird,Jabari_Bird
477,Xavier Silas,XavierSilas
478,Deshaun Thomas,Deshaunthomas_0
479,Laurence Bowers,LBowers_21
480,Luguentz Dort,luthebeast
481,Garret Siler,Big_G_21
482,Gerald Robinson,GRJR22
483,Jaron Blossomgame,JaronBgame
484,Jānis Timma,janis_timma
485,Robert Franks,RoBo_22
486,Sean Singletary,SeanSingletary
487,Tomáš Satoranský,satoransky
488,Travis Releford,T_2releFOUR
489,OG Anunoby,OAnunoby
490,Zach Norvell,ZachN_23
491,Luke Kornet,bigshin32
492,Zylan Cheatham,1KingZ4
493,Furkan Aldemir,furkanaldemir19
494,Scott Suggs,scottro15
495,Kobi Simmons,JordanKobi
496,Josh Reaves,jreaves23
497,Devin Ebanks,DevinEbanks3
498,Tomislav Zubčić,TomislavZubcic7
499,Clint Chapman,ChapFTW
500,Michael Young,Showwtimee2
501,Tyler Cook,iamtc25
502,İlkan Karaman,ilknkrmn
503,Jordan Taylor,JMTaylor11
504,Jeremy Morgan,jmodashow20
505,Kelan Martin,kelan30_
506,Marcus Denmon,MizzouMonster12
507,Devin Booker,DevinBooker31
508,Miloš Teodosić,MilosTeodosic4
509,Aric Holman,AricHolman
510,Dāvis Bertāns,DBertans_42
511,Andrew Lawrence,Adrlawrence
512,Cameron Oliver,SpaceCamm
513,Caleb Martin,Calebmartin14
514,Maurice Sutton,LordSuttonJr
515,Jalen Moore,JalenMoore14
516,Chris Clemons,idropcoldbucks
517,Junior Cadougan,JRwontLOSE
518,Alfonzo McKinnie,_Alvo_
519,Jerry Smith,JSmith_8
520,Mike Bruesewitz,mbruesewitz31
521,JeQuan Lewis,thatlewiskid1
522,Dakota Mathias,DMathias31
523,Bronson Koenig,BronsonK_24
524,DaQuan Jeffries,daquanjeffries2
525,Travis Leslie,FlightLeslie23
526,Nolan Smith,NdotSmitty
527,Dexter Strickland,BadenJaxen_
528,Maxi Kleber,MaxiKleber
529,Dedric Lawson,DSmoove1_2many
530,Scoop Jardine,scoopjardine
531,Devin Robinson,drob7nson
532,Devontae Cacok,Vontae__15
533,Nemanja Bjelica,NemanjaBjelica
534,Antonio Blakeney,blakeney96
535,Chris Boucher,chrisboucher
536,Hassani Gravett,BestThingSince_
537,Latavious Williams,taybowl_
538,Ricky Harris,RickyHarris5
539,Royce O'Neale,BucketsONeale00
540,Keydren Clark,KeydrenClark
541,Torrey Craig,TCraig_23
542,Patrick Ewing,pewingjr6
543,Brandon Paul,BP3
544,Kennedy Meeks,Asapmeeks03
545,Jakeenan Gant,JakeenanG23
546,Christian Eyenga,christeyenga31
547,Sergio Llull,23Llull
548,Thomas Abercrombie,tomabo10
549,Matt Williams,1mattwill2
550,Festus Ezeli,festus
551,Jake Cohen,jacohen15
552,Javonte Green,2Xtremebounce
553,Shaun Livingston,ShaunLivingston
554,Daniel Theis,dtheis10
555,Jeremiah Martin,4k_Jeremiah
556,Trent Lockett,T_Lockett24
557,Landry Nnoko,landry_nnoko
558,Josh Perkins,JoshPerk13
559,C.J. Aiken,cjaiken01
560,Will Clyburn,Da_Thrill21
561,Gian Clavell,clavelito04
